year;mounth;date;temperaturemin;avtemperature;temperaturemax
2005;1;1;-18.9;-15.7;-11.4
2005;1;2;-13.1;-8.6;-3.1
2005;1;3;-4.1;-2.2;0.4
2005;1;4;-14.4;-11.2;-3.0
2005;1;5;-17.5;-14.5;-9.8
2005;1;6;-11.3;-7.4;-5.4
2005;1;7;-16.3;-12.6;-7.0
2005;1;8;-14.4;-12.4;-9.6
2005;1;9;-18.3;-15.9;-10.6
2005;1;10;-18.8;-15.7;-13.1
2005;1;11;-15.9;-13.9;-11.4
2005;1;12;-16.4;-13.0;-7.0
2005;1;13;-12.4;-10.6;-8.2
2005;1;14;-13.5;-11.4;-8.7
2005;1;15;-12.7;-11.3;-8.1
2005;1;16;-13.6;-11.4;-7.6
2005;1;17;-13.4;-10.6;-8.0
2005;1;18;-12.4;-9.9;-4.5
2005;1;19;-14.9;-12.4;-6.7
2005;1;20;-14.5;-12.4;-10.6
2005;1;21;-15.9;-13.1;-9.0
2005;1;22;-14.5;-12.0;-9.0
2005;1;23;-17.3;-11.9;-6.5
2005;1;24;-9.7;-5.1;-2.0
2005;1;25;-16.3;-14.0;-9.2
2005;1;26;-17.9;-14.6;-9.1
2005;1;27;-13.2;-10.0;-4.8
2005;1;28;-14.5;-10.2;-7.5
2005;1;29;-13.9;-9.7;-4.8
2005;1;30;-18.4;-15.4;-11.6
2005;1;31;-19.1;-15.4;-11.1
