Temperature,Light,Wind,Pressure,Voltage,Team,Date
8.0, 47.0, 1.3, 1021.0, 6.8, 0, Thu 24.03.2016 14:29 
8.5, 49.0, 0.5, 1022.0, 6.9, 0, Thu 24.03.2016 14:27 
9.0, 56.0, 0.7, 1022.0, 6.9, 0, Thu 24.03.2016 14:25 
9.5, 50.0, 0.2, 1021.0, 7.0, 0, Thu 24.03.2016 14:23 
10.0, 43.0, 0.6, 1021.0, 7.0, 0, Thu 24.03.2016 14:21 
10.0, 25.0, 1.1, 1020.0, 7.1, 0, Thu 24.03.2016 14:19 
9.5, 46.0, 0.4, 1022.0, 7.1, 0, Thu 24.03.2016 14:16 
10.0, 48.0, 0.2, 1021.0, 7.1, 0, Thu 24.03.2016 14:14 
10.0, 48.0, 1.0, 1021.0, 7.2, 0, Thu 24.03.2016 14:12 
12.0, 45.0, 0.3, 1021.0, 7.2, 0, Thu 24.03.2016 14:10 
11.0, 22.0, 0.4, 1020.0, 7.2, 0, Thu 24.03.2016 14:08 
11.0, 22.0, 0.5, 1020.0, 7.2, 0, Thu 24.03.2016 14:06 
9.5, 23.0, 0.2, 1021.0, 7.2, 0, Thu 24.03.2016 14:04 
9.0, 24.0, 2.6, 1021.0, 7.2, 0, Thu 24.03.2016 14:02 
8.0, 45.0, 0.7, 1022.0, 7.2, 0, Thu 24.03.2016 13:59 
9.0, 49.0, 0.7, 1022.0, 7.3, 0, Thu 24.03.2016 13:57 
9.0, 40.0, 0.6, 1022.0, 7.3, 0, Thu 24.03.2016 13:55 
9.5, 42.0, 1.2, 1022.0, 7.3, 0, Thu 24.03.2016 13:53 
10.0, 23.0, 0.6, 1021.0, 7.3, 0, Thu 24.03.2016 13:51 
13.0, 53.0, 1.4, 1021.0, 7.7, 0, Thu 24.03.2016 12:37 
16.0, 44.0, 0.5, 1021.0, 7.7, 0, Thu 24.03.2016 12:35 
17.0, 22.0, 1.0, 1020.0, 7.6, 0, Thu 24.03.2016 12:33 
20.0, 23.0, 0.7, 1020.0, 7.7, 0, Thu 24.03.2016 12:31 
20.0, 600.0, 0.0, 1021.0, 7.7, 0, Thu 24.03.2016 12:27 
19.0, 640.0, 0.0, 1021.0, 7.8, 0, Thu 24.03.2016 12:24 
19.0, 520.0, 2.6, 1020.0, 7.2, 0, Thu 24.03.2016 12:12 
19.0, 530.0, 0.0, 1021.0, 7.2, 0, Thu 24.03.2016 12:10 
19.0, 542.0, 0.0, 1020.0, 7.2, 0, Thu 24.03.2016 12:07 
20.0, 522.0, 0.0, 1020.0, 7.2, 0, Thu 24.03.2016 12:05 
19.0, 591.0, 0.0, 1020.0, 7.2, 0, Thu 24.03.2016 12:03 
20.0, 585.0, 0.0, 1020.0, 7.2, 0, Thu 24.03.2016 12:01 
19.0, 577.0, 0.0, 1020.0, 7.2, 0, Thu 24.03.2016 12:00 
20.0, 514.0, 0.0, 1020.0, 7.2, 0, Thu 24.03.2016 11:55 
20.0, 564.0, 0.0, 1021.0, 7.2, 0, Thu 24.03.2016 11:55 
20.0, 564.0, 0.0, 1021.0, 7.2, 0, Thu 24.03.2016 11:53 
20.0, 442.0, 0.0, 1020.0, 6.0, 0, Thu 24.03.2016 11:14 
21.0, 417.0, 30.0, 1020.0, 6.0, 0, Thu 24.03.2016 11:07 
20.0, 407.0, 0.0, 1020.0, 6.0, 0, Thu 24.03.2016 11:03 
20.0, 396.0, 0.0, 1020.0, 8.0, 0, Thu 24.03.2016 11:01 
21.0, 389.0, 12.0, 1020.0, 8.0, 0, Thu 24.03.2016 11:00 
21.0, 390.0, 0.0, 1021.0, 8.0, 0, Thu 24.03.2016 10:58 
21.0, 376.0, 0.0, 1020.0, 8.0, 0, Thu 24.03.2016 10:57 
21.0, 538.0, 0.0, 1020.0, 8.0, 0, Thu 24.03.2016 10:55 
21.0, 535.0, 0.0, 1021.0, 8.0, 0, Thu 24.03.2016 10:53 
21.0, 360.0, 0.0, 1020.0, 6.0, 0, Thu 24.03.2016 10:45 
20.0, 586.0, 0.0, 1020.0, 6.0, 0, Thu 24.03.2016 10:44 
21.0, 565.0, 0.0, 1020.0, 6.0, 0, Thu 24.03.2016 10:42 
20.0, 350.0, 0.0, 1021.0, 6.0, 0, Thu 24.03.2016 10:41 
