temp,light,press,wind_speed,date,team,voltage
20,350,1021,0,2016-03-24T00:41:04.867Z,0,6
21,565,1020,0,2016-03-24T00:42:30.690Z,0,6
20,586,1020,0,2016-03-24T00:44:05.193Z,0,6
21,360,1020,0,2016-03-24T00:45:39.402Z,0,6
21,535,1021,0,2016-03-24T00:53:10.333Z,0,8
21,538,1020,0,2016-03-24T00:55:36.642Z,0,8
21,376,1020,0,2016-03-24T00:57:11.002Z,0,8
21,390,1021,0,2016-03-24T00:58:45.378Z,0,8
21,389,1020,12,2016-03-24T01:00:19.666Z,0,8
20,396,1020,0,2016-03-24T01:01:54.094Z,0,8
20,407,1020,0,2016-03-24T01:03:28.606Z,0,6
21,417,1020,30,2016-03-24T01:07:32.924Z,0,6
20,442,1020,0,2016-03-24T01:14:24.406Z,0,6
20,564,1021,0,2016-03-24T01:53:40.778Z,0,7.2
20,564,1021,0,2016-03-24T01:55:07.470Z,0,7.2
20,514,1020,0,2016-03-24T01:55:24.273Z,0,7.2
19,577,1020,0,2016-03-24T02:00:04.082Z,0,7.2
20,585,1020,0,2016-03-24T02:01:39.327Z,0,7.2
19,591,1020,0,2016-03-24T02:03:45.308Z,0,7.2
20,522,1020,0,2016-03-24T02:05:56.068Z,0,7.2
19,542,1020,0,2016-03-24T02:07:56.951Z,0,7.2
19,530,1021,0,2016-03-24T02:10:02.869Z,0,7.2
19,520,1020,2.6,2016-03-24T02:12:08.765Z,0,7.2
19,640,1021,0,2016-03-24T02:24:45.760Z,0,7.8
20,600,1021,0,2016-03-24T02:27:17.705Z,0,7.7
20,23,1020,0.7,2016-03-24T02:31:39.942Z,0,7.7
17,22,1020,1,2016-03-24T02:33:56.466Z,0,7.6
16,44,1021,0.5,2016-03-24T02:35:47.295Z,0,7.7
13,53,1021,1.4,2016-03-24T02:37:52.925Z,0,7.7
10,23,1021,0.6,2016-03-24T03:51:35.091Z,0,7.3
9.5,42,1022,1.2,2016-03-24T03:53:40.364Z,0,7.3
9,40,1022,0.6,2016-03-24T03:55:46.295Z,0,7.3
9,49,1022,0.7,2016-03-24T03:57:52.012Z,0,7.3
8,45,1022,0.7,2016-03-24T03:59:57.870Z,0,7.2
9,24,1021,2.6,2016-03-24T04:02:04.052Z,0,7.2
9.5,23,1021,0.2,2016-03-24T04:04:10.284Z,0,7.2
11,22,1020,0.5,2016-03-24T04:06:15.296Z,0,7.2
11,22,1020,0.4,2016-03-24T04:08:21.425Z,0,7.2
12,45,1021,0.3,2016-03-24T04:10:27.053Z,0,7.2
10,48,1021,1,2016-03-24T04:12:33.160Z,0,7.2
10,48,1021,0.2,2016-03-24T04:14:38.940Z,0,7.1
9.5,46,1022,0.4,2016-03-24T04:16:44.561Z,0,7.1
10,25,1020,1.1,2016-03-24T04:19:10.534Z,0,7.1
10,43,1021,0.6,2016-03-24T04:21:15.904Z,0,7
9.5,50,1021,0.2,2016-03-24T04:23:02.214Z,0,7
9,56,1022,0.7,2016-03-24T04:25:07.852Z,0,6.9
8.5,49,1022,0.5,2016-03-24T04:27:13.568Z,0,6.9
8,47,1021,1.3,2016-03-24T04:29:19.243Z,0,6.8
